,year,county_name,commodity_desc,value,percent
354,1963.0,LA MOURE,CORN,35000.0,0.034213098729227766
355,1963.0,LA MOURE,NOT CORN,988000.0,0.9657869012707724
356,1963.0,LOGAN,CORN,17300.0,0.02202979752960652
357,1963.0,LOGAN,NOT CORN,768000.0,0.9779702024703936
358,1963.0,MCINTOSH,CORN,13700.0,0.015529358422126504
359,1963.0,MCINTOSH,NOT CORN,868500.0,0.9844706415778736
360,1964.0,DICKEY,CORN,39000.0,0.04920514761544285
361,1964.0,DICKEY,NOT CORN,753600.0,0.9507948523845572
362,1964.0,LA MOURE,CORN,34900.0,0.03163524292965917
363,1964.0,LA MOURE,NOT CORN,1068300.0,0.9683647570703408
364,1964.0,LOGAN,CORN,18000.0,0.0205620287868403
365,1964.0,LOGAN,NOT CORN,857400.0,0.9794379712131596
366,1964.0,MCINTOSH,CORN,15300.0,0.015496809480401094
367,1964.0,MCINTOSH,NOT CORN,972000.0,0.9845031905195988
368,1965.0,DICKEY,CORN,36000.0,0.04644561992001032
369,1965.0,DICKEY,NOT CORN,739100.0,0.9535543800799896
370,1965.0,LA MOURE,CORN,32000.0,0.02873563218390805
371,1965.0,LA MOURE,NOT CORN,1081600.0,0.971264367816092
372,1965.0,LOGAN,CORN,14800.0,0.016696750902527074
373,1965.0,LOGAN,NOT CORN,871600.0,0.9833032490974728
374,1965.0,MCINTOSH,CORN,11800.0,0.011948157148643177
375,1965.0,MCINTOSH,NOT CORN,975800.0,0.9880518428513568
376,1966.0,DICKEY,CORN,34000.0,0.042713567839195984
377,1966.0,DICKEY,NOT CORN,762000.0,0.9572864321608041
378,1966.0,LA MOURE,CORN,25000.0,0.022245951236874888
379,1966.0,LA MOURE,NOT CORN,1098800.0,0.9777540487631252
380,1966.0,LOGAN,CORN,13600.0,0.015610651974288337
381,1966.0,LOGAN,NOT CORN,857600.0,0.9843893480257117
382,1966.0,MCINTOSH,CORN,10900.0,0.011148614094302955
383,1966.0,MCINTOSH,NOT CORN,966800.0,0.9888513859056971
384,1967.0,DICKEY,CORN,34300.0,0.039479742173112335
385,1967.0,DICKEY,NOT CORN,834500.0,0.9605202578268875
386,1967.0,LA MOURE,CORN,24000.0,0.01931123270035404
387,1967.0,LA MOURE,NOT CORN,1218800.0,0.980688767299646
388,1967.0,LOGAN,CORN,11500.0,0.012046930651581814
389,1967.0,LOGAN,NOT CORN,943100.0,0.9879530693484182
390,1967.0,MCINTOSH,CORN,10200.0,0.009519365375641624
391,1967.0,MCINTOSH,NOT CORN,1061300.0,0.9904806346243584
392,1968.0,DICKEY,CORN,30900.0,0.034746429776228493
393,1968.0,DICKEY,NOT CORN,858400.0,0.9652535702237716
394,1968.0,LA MOURE,CORN,21700.0,0.017082578918365742
395,1968.0,LA MOURE,NOT CORN,1248600.0,0.9829174210816344
396,1968.0,LOGAN,CORN,10200.0,0.010854528040864106
397,1968.0,LOGAN,NOT CORN,929500.0,0.989145471959136
398,1968.0,MCINTOSH,CORN,7400.0,0.006923004958368416
399,1968.0,MCINTOSH,NOT CORN,1061500.0,0.9930769950416316
400,1969.0,DICKEY,CORN,23600.0,0.029991104333460413
401,1969.0,DICKEY,NOT CORN,763300.0,0.9700088956665396
402,1969.0,LA MOURE,CORN,17900.0,0.016284570596797672
403,1969.0,LA MOURE,NOT CORN,1081300.0,0.9837154294032024
404,1969.0,LOGAN,CORN,7300.0,0.009248701380970479
405,1969.0,LOGAN,NOT CORN,782000.0,0.9907512986190296
406,1969.0,MCINTOSH,CORN,6000.0,0.007554772097708386
407,1969.0,MCINTOSH,NOT CORN,788200.0,0.9924452279022916
408,1970.0,DICKEY,CORN,23400.0,0.031030367325288424
409,1970.0,DICKEY,NOT CORN,730700.0,0.9689696326747116
410,1970.0,LA MOURE,CORN,19000.0,0.01829914282962535
411,1970.0,LA MOURE,NOT CORN,1019300.0,0.9817008571703748
412,1970.0,LOGAN,CORN,7700.0,0.010077215024211493
413,1970.0,LOGAN,NOT CORN,756400.0,0.9899227849757886
414,1970.0,MCINTOSH,CORN,5600.0,0.007039597737272156
415,1970.0,MCINTOSH,NOT CORN,789900.0,0.992960402262728
416,1971.0,DICKEY,CORN,32000.0,0.03454231433506045
417,1971.0,DICKEY,NOT CORN,894400.0,0.9654576856649396
